### MAIN SAMPLES ###
featureId;id;datetime;meanNDVI;meanNDVISmoothed;medianNDVI;medianNDVISmoothed;n_valid;valid_fraction;not_valid_fraction;filter;filter_fraction;Change point;Z-Score;Annotation;Status
"S2A_MSIL2A_20250911T101041_R022_T33UUU_20250911T115713";"1";"2025-09-11T10:10:41.024000Z";"0.26438459492316985";"0.26438459492316985";"0.24040095508098602";"0.24040095508098602";"25207";"99.71%";"WATER: 0.29%";"z-score";"99.08%";"false";"N/A";"N/A";"Included"
"S2A_MSIL2A_20250911T101041_R022_T32UQD_20250911T115713";"2";"2025-09-11T10:10:41.024000Z";"0.26771975897776984";"0.26771975897776984";"0.24408335983753204";"0.24408335983753204";"24120";"99.75%";"WATER: 0.25%";"z-score";"99.13%";"false";"N/A";"N/A";"Included"
"S2B_MSIL2A_20250924T100649_R022_T33UUU_20250924T124221";"3";"2025-09-24T10:06:49.024000Z";"0.2799348799951299";"0.2799348799951299";"0.25972843170166016";"0.25972843170166016";"25195";"99.66%";"WATER: 0.34%";"z-score";"99.31%";"false";"N/A";"N/A";"Included"
"S2B_MSIL2A_20250924T100649_R022_T32UQD_20250924T124221";"4";"2025-09-24T10:06:49.024000Z";"0.2818522796688035";"0.2818522796688035";"0.26208460330963135";"0.26208460330963135";"24128";"99.78%";"WATER: 0.22%";"z-score";"99.44%";"false";"N/A";"N/A";"Included"
"S2A_MSIL2A_20250924T102041_R065_T33UUU_20250924T160513";"5";"2025-09-24T10:20:41.024000Z";"0.27594294436804784";"0.27594294436804784";"0.2542618364095688";"0.2542618364095688";"25195";"99.66%";"WATER: 0.34%";"z-score";"99.29%";"true";"-2.57";"N/A";"Included"
"S2A_MSIL2A_20250924T102041_R065_T32UQD_20250924T160513";"6";"2025-09-24T10:20:41.024000Z";"0.27820632389676747";"0.27820632389676747";"0.2583417594432831";"0.2583417594432831";"24124";"99.77%";"WATER: 0.23%";"z-score";"99.37%";"false";"N/A";"N/A";"Included"
"S2B_MSIL2A_20250927T101709_R065_T33UUU_20250927T160120";"7";"2025-09-27T10:17:09.024000Z";"0.255455803893219";"0.255455803893219";"0.23395094275474548";"0.23395094275474548";"25229";"99.79%";"WATER: 0.21%";"z-score";"99.17%";"false";"N/A";"N/A";"Included"
"S2B_MSIL2A_20250927T101709_R065_T32UQD_20250927T160120";"8";"2025-09-27T10:17:09.024000Z";"0.25873656217214813";"0.25873656217214813";"0.23781733214855194";"0.23781733214855194";"24124";"99.77%";"WATER: 0.23%";"z-score";"99.15%";"false";"N/A";"N/A";"Included"
"S2C_MSIL2A_20250929T100821_R022_T33UUU_20250929T155516";"9";"2025-09-29T10:08:21.025000Z";"0.26581046803341096";"0.26581046803341096";"0.24553819745779037";"0.24553819745779037";"25225";"99.78%";"WATER: 0.22%";"z-score";"99.36%";"false";"N/A";"N/A";"Included"
"S2C_MSIL2A_20250929T100821_R022_T32UQD_20250929T155516";"10";"2025-09-29T10:08:21.025000Z";"0.2679891019244473";"0.2679891019244473";"0.24761167168617249";"0.24761167168617249";"24120";"99.75%";"WATER: 0.25%";"z-score";"99.31%";"false";"N/A";"N/A";"Included"
